name,description,PCS/SET/DOZ,PRICE PER,,PRICE,PRICE ,UNIT,,,price,,,isHidden,shopId,categoryId
Rainbow basin 3 (Colour),( 1 * 64 pcs ),64,"  37,966 ","  6,834 ","  44,800 ",  700 ,PC,  0.15 ,"  6,720 ","51,520.00","  6,720 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Rainbow basin 4 (Colour),( 1 * 56 pcs ),56,"  56,949 ","  10,251 ","  67,200 ","  1,200 ",PC,  0.15 ,"  10,080 ","77,280.00","  10,080 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Rainbow basin 5 (Colour),( 1 * 48 pcs ),48,"  54,915 ","  9,885 ","  64,800 ","  1,350 ",PC,  0.15 ,"  9,720 ","74,520.00","  9,720 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Rainbow basin 6 (Colour),( 1 * 36 pcs ),36,"  91,525 ","  16,475 ","  108,000 ","  3,000 ",PC,  0.15 ,"  16,200 ","124,200.00","  16,200 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Rectangular Tub (Colour),( 1 * 50 pcs ),50,"  163,136 ","  29,364 ","  192,500 ","  3,850 ",PC,  0.15 ,"  28,875 ","221,375.00","  28,875 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Rhino Tub 10 Litres (Colour),( 1 * 30 pcs ),30,"  50,847 ","  9,153 ","  60,000 ","  2,000 ",PC,  0.15 ,"  9,000 ","69,000.00","  9,000 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Rhino Tub 15 Litres (Colour),( 1 * 24 pcs ),24,"  61,017 ","  10,983 ","  72,000 ","  3,000 ",PC,  0.15 ,"  10,800 ","82,800.00","  10,800 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Rhino Tub 20 Litres (Colour),( 1 * 18 pcs ),18,"  58,729 ","  10,571 ","  69,300 ","  3,850 ",PC,  0.15 ,"  10,395 ","79,695.00","  10,395 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Rhino Tub 30 Litres (Colour),( 1 * 12 pcs ),12,"  50,847 ","  9,153 ","  60,000 ","  5,000 ",PC,  0.15 ,"  9,000 ","69,000.00","  9,000 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Round Dish -45 Old (Colour),( 1 * 50 pcs ),50,"  84,746 ","  15,254 ","  100,000 ","  2,000 ",PC,  0.15 ,"  15,000 ","115,000.00","  15,000 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Round Dish -45 (D/Colour),( 1 * 50 pcs ),50,"  105,932 ","  19,068 ","  125,000 ","  2,500 ",PC,  0.15 ,"  18,750 ","143,750.00","  18,750 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Ruby Basin 45 (Colour),( 1 x 12pcs ),12,"  67,119 ","  12,081 ","  79,200 "," 6,600 ",PC,  0.15 ,"  11,880 ","91,080.00","  11,880 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Ruby Basin 90 (Colour),(1 * 6 pcs),6,"  55,932 ","  10,068 ","  66,000 "," 11,000 ",PC,  0.15 ,"  9,900 ","75,900.00","  9,900 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Ruby Basin Small Colour,(1 * 72 pcs),72,"  64,068 ","  11,532 ","  75,600 "," 1,050 ",PC,  0.15 ,"  11,340 ","86,940.00","  11,340 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Spiral Basin-12 (Colour),( 1 * 72 pcs ),72,"  61,017 ","  10,983 ","  72,000 ","  1,000 ",PC,  0.15 ,"  10,800 ","82,800.00","  10,800 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Spiral Basin-14 (Colour),( 1 * 60 pcs ),60,"  66,102 ","  11,898 ","  78,000 ","  1,300 ",PC,  0.15 ,"  11,700 ","89,700.00","  11,700 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Spiral Basin-16 (Colour),( 1 * 54 pcs ),54,"  68,644 ","  12,356 ","  81,000 ","  1,500 ",PC,  0.15 ,"  12,150 ","93,150.00","  12,150 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Spiral Basin-16 (D/Colour),( 1 * 54 pcs ),54,"  91,525 ","  16,475 ","  108,000 ","  2,000 ",PC,  0.15 ,"  16,200 ","124,200.00","  16,200 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Spiral Basin-18 (Colour),( 1 * 48 pcs ),48,"  85,424 ","  15,376 ","  100,800 ","  2,100 ",PC,  0.15 ,"  15,120 ","115,920.00","  15,120 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Spiral Basin-18 (D/Colour),( 1 * 48 pcs ),48,"  101,695 ","  18,305 ","  120,000 ","  2,500 ",PC,  0.15 ,"  18,000 ","138,000.00","  18,000 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Spiral Basin-45 (D/Colour),( 1 * 72 pcs ),72,"  151,017 ","  27,183 ","  178,200 ","  2,475 ",PC,  0.15 ,"  26,730 ","204,930.00","  26,730 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Step Basin 40 (Colour),( 1 * 18 pcs ),18,"  67,119 ","  12,081 ","  79,200 ","  4,400 ",PC,  0.15 ,"  11,880 ","91,080.00","  11,880 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Step Basin 60 (Colour),( 1 * 12 pcs ),12,"  87,458 ","  15,742 ","  103,200 ","  8,600 ",PC,  0.15 ,"  15,480 ","118,680.00","  15,480 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Style Basin 30 (Colour),( 1 * 48 pcs ),48,"  48,814 ","  8,786 ","  57,600 ","  1,200 ",PC,  0.15 ,"  8,640 ","66,240.00","  8,640 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
Style Basin 30 (D/Colour),( 1 * 48 pcs ),48,"  52,881 ","  9,519 ","  62,400 ","  1,300 ",PC,  0.15 ,"  9,360 ","71,760.00","  9,360 ",#REF!,TRUE,158c6191-eb0e-4d49-8411-69e9bdd7b818,158c6191-eb0e-4d49-8411-69e9bdd7b818
